candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_autel_wideband_015_M001,1,109470,109471,0.892606
sim_autel_wideband_015_M001,2,114652,114653,0.878215
sim_autel_wideband_015_M001,3,129000,129001,0.876279
sim_autel_wideband_015_M001,4,136488,136489,0.884590
sim_autel_wideband_015_M001,5,178031,178032,0.874309
sim_autel_wideband_015_M001,6,179181,179182,0.891408
sim_autel_wideband_015_M001,7,181485,181486,0.870709
sim_autel_wideband_015_M001,8,225197,225198,0.870917
sim_autel_wideband_015_M001,9,277243,277244,0.882956
sim_autel_wideband_015_M001,10,277818,277819,0.871124
sim_autel_wideband_015_M001,11,293441,293442,0.873395
sim_autel_wideband_015_M001,12,298623,298624,0.878705
sim_autel_wideband_015_M001,13,355781,355782,0.869331
sim_autel_wideband_015_M001,14,380797,380798,0.872533
sim_autel_wideband_015_M001,15,403745,403746,0.877313
sim_autel_wideband_015_M001,16,427777,427778,0.872822
sim_autel_wideband_015_M001,17,430078,430079,0.870128
sim_autel_wideband_015_M001,18,456515,456516,0.890671
sim_autel_wideband_015_M001,19,457667,457668,0.874063
sim_autel_wideband_015_M001,20,472446,472447,0.875601
