candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_remoteid_ble_005_M001,1,13197,13198,0.565826
sim_remoteid_ble_005_M001,2,28245,28246,0.604815
sim_remoteid_ble_005_M001,3,46542,46543,0.576883
sim_remoteid_ble_005_M001,4,62776,62777,0.774665
sim_remoteid_ble_005_M001,5,86231,86232,0.594430
sim_remoteid_ble_005_M001,6,113911,113912,0.775369
sim_remoteid_ble_005_M001,7,141598,141599,0.775265
sim_remoteid_ble_005_M001,8,165588,165589,0.776417
sim_remoteid_ble_005_M001,9,187622,187623,0.558875
sim_remoteid_ble_005_M001,10,213620,213621,0.759255
sim_remoteid_ble_005_M001,11,237600,237601,0.827375
sim_remoteid_ble_005_M001,12,251775,251776,0.472497
sim_remoteid_ble_005_M001,13,274013,274014,0.509357
sim_remoteid_ble_005_M001,14,289302,289303,0.466947
sim_remoteid_ble_005_M001,15,303395,303396,0.580817
sim_remoteid_ble_005_M001,16,319620,319621,0.503854
sim_remoteid_ble_005_M001,17,337242,337243,0.563355
