candidateId,status,protocolType,byteCount,byteRecoveryConfidence,bitErrorEstimate,decoderMethod,crcCandidateStatus,fieldCount
sim_autel_wideband_012_M001,partial,AUTEL_SKYLINK_PROXY_WIDEBAND_V2,256,0.393067,0.606932,generic_differential_qpsk_hard,not_evaluated_stage1,3
fieldOffset,fieldLength,semantic,confidence
0,1,header_candidate,0.543499
1,1,length_candidate,0.585732
2,43,raw_payload,0.393067
