candidateId,byteIndex,valueHex,confidence,byteSource
sim_dji_droneid_022_M001,0,DE,0.743871,REAL_IQ
sim_dji_droneid_022_M001,1,B2,0.625534,REAL_IQ
sim_dji_droneid_022_M001,2,8B,0.771415,REAL_IQ
sim_dji_droneid_022_M001,3,4A,0.865126,REAL_IQ
sim_dji_droneid_022_M001,4,2B,0.775906,REAL_IQ
sim_dji_droneid_022_M001,5,DE,0.863777,REAL_IQ
sim_dji_droneid_022_M001,6,AF,0.724687,REAL_IQ
sim_dji_droneid_022_M001,7,43,0.619225,REAL_IQ
sim_dji_droneid_022_M001,8,EB,0.845079,REAL_IQ
sim_dji_droneid_022_M001,9,85,0.767184,REAL_IQ
sim_dji_droneid_022_M001,10,55,0.826129,REAL_IQ
sim_dji_droneid_022_M001,11,BD,0.747407,REAL_IQ
sim_dji_droneid_022_M001,12,74,0.805769,REAL_IQ
sim_dji_droneid_022_M001,13,7A,0.716859,REAL_IQ
sim_dji_droneid_022_M001,14,50,0.860413,REAL_IQ
sim_dji_droneid_022_M001,15,51,0.648212,REAL_IQ
sim_dji_droneid_022_M001,16,F4,0.725265,REAL_IQ
sim_dji_droneid_022_M001,17,16,0.772427,REAL_IQ
sim_dji_droneid_022_M001,18,E9,0.731354,REAL_IQ
sim_dji_droneid_022_M001,19,6D,0.689576,REAL_IQ
sim_dji_droneid_022_M001,20,AA,0.763687,REAL_IQ
sim_dji_droneid_022_M001,21,C0,0.880852,REAL_IQ
sim_dji_droneid_022_M001,22,EE,0.603576,REAL_IQ
sim_dji_droneid_022_M001,23,0B,0.666814,REAL_IQ
sim_dji_droneid_022_M001,24,4A,0.847592,REAL_IQ
sim_dji_droneid_022_M001,25,5B,0.789471,REAL_IQ
sim_dji_droneid_022_M001,26,0F,0.776681,REAL_IQ
sim_dji_droneid_022_M001,27,AC,0.647203,REAL_IQ
sim_dji_droneid_022_M001,28,07,0.849730,REAL_IQ
sim_dji_droneid_022_M001,29,DF,0.773634,REAL_IQ
sim_dji_droneid_022_M001,30,0F,0.749538,REAL_IQ
sim_dji_droneid_022_M001,31,3E,0.771164,REAL_IQ
sim_dji_droneid_022_M001,32,16,0.817430,REAL_IQ
sim_dji_droneid_022_M001,33,AF,0.732474,REAL_IQ
sim_dji_droneid_022_M001,34,29,0.828654,REAL_IQ
sim_dji_droneid_022_M001,35,A7,0.775386,REAL_IQ
sim_dji_droneid_022_M001,36,81,0.770821,REAL_IQ
sim_dji_droneid_022_M001,37,5A,0.689467,REAL_IQ
sim_dji_droneid_022_M001,38,85,0.846047,REAL_IQ
sim_dji_droneid_022_M001,39,00,0.758745,REAL_IQ
sim_dji_droneid_022_M001,40,78,0.810280,REAL_IQ
sim_dji_droneid_022_M001,41,2D,0.803645,REAL_IQ
sim_dji_droneid_022_M001,42,94,0.721001,REAL_IQ
