candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_dji_droneid_013_M001,1,14941,14942,0.176370
sim_dji_droneid_013_M001,2,34701,34702,0.176370
sim_dji_droneid_013_M001,3,54461,54462,0.176370
sim_dji_droneid_013_M001,4,74221,74222,0.176370
sim_dji_droneid_013_M001,5,93981,93982,0.176370
sim_dji_droneid_013_M001,6,113741,113742,0.176370
sim_dji_droneid_013_M001,7,133501,133502,0.176370
sim_dji_droneid_013_M001,8,153261,153262,0.176370
sim_dji_droneid_013_M001,9,173021,173022,0.176370
