candidateId,frameIndex,frameStart0,frameStart1,frameConfidence
sim_autel_wideband_012_M001,1,83972,83973,0.987944
sim_autel_wideband_012_M001,2,119712,119713,0.987291
sim_autel_wideband_012_M001,3,153240,153241,0.988438
sim_autel_wideband_012_M001,4,175423,175424,0.987425
sim_autel_wideband_012_M001,5,178783,178784,0.989309
sim_autel_wideband_012_M001,6,182143,182144,0.988746
sim_autel_wideband_012_M001,7,232768,232769,0.987500
sim_autel_wideband_012_M001,8,235010,235011,0.989496
sim_autel_wideband_012_M001,9,295046,295047,0.989134
sim_autel_wideband_012_M001,10,298407,298408,0.987850
sim_autel_wideband_012_M001,11,329304,329305,0.987611
sim_autel_wideband_012_M001,12,347521,347522,0.988149
sim_autel_wideband_012_M001,13,385466,385467,0.992359
sim_autel_wideband_012_M001,14,411798,411799,0.991240
sim_autel_wideband_012_M001,15,417398,417399,0.987740
sim_autel_wideband_012_M001,16,445287,445288,0.987331
sim_autel_wideband_012_M001,17,447526,447527,0.987740
sim_autel_wideband_012_M001,18,465408,465409,0.987371
sim_autel_wideband_012_M001,19,472128,472129,0.989776
sim_autel_wideband_012_M001,20,491473,491474,0.987688
